sequence_id,video_id,url,first_frame,last_frame,n_annotated_frames,source_height,dataset_annotation,gait_pattern_annotation,cam_view
clk7vjylo002t3n6l0is9degp,n-O8dHyYIF0,https://www.youtube.com/watch?v=n-O8dHyYIF0,1718,1955,238,480,Normal Gait,normal,front
clk7vkjqo002x3n6lfrz358aq,n-O8dHyYIF0,https://www.youtube.com/watch?v=n-O8dHyYIF0,1999,2073,75,480,Normal Gait,normal,back
clk7vl6yu00313n6lknetd6da,n-O8dHyYIF0,https://www.youtube.com/watch?v=n-O8dHyYIF0,2195,2316,122,480,Normal Gait,normal,front
clk7vlsxt00353n6lmynqknax,n-O8dHyYIF0,https://www.youtube.com/watch?v=n-O8dHyYIF0,2570,2669,100,480,Normal Gait,normal,front
clk7vopzf003b3n6ls09yk91c,nXuJIs25z1U,https://www.youtube.com/watch?v=nXuJIs25z1U,3261,3540,280,360,Normal Gait,normal,front
clk7vphu3003f3n6l7q6xnzl8,nXuJIs25z1U,https://www.youtube.com/watch?v=nXuJIs25z1U,3542,3651,110,360,Normal Gait,normal,left side
clk7vqef6003j3n6labf9flig,nXuJIs25z1U,https://www.youtube.com/watch?v=nXuJIs25z1U,4220,4343,124,360,Normal Gait,normal,front
clk7vr8n7003n3n6l1mm7nwq5,nXuJIs25z1U,https://www.youtube.com/watch?v=nXuJIs25z1U,4486,4722,237,360,Normal Gait,normal,front
clk7vs979003r3n6l21728wxc,nXuJIs25z1U,https://www.youtube.com/watch?v=nXuJIs25z1U,6203,6302,100,360,Normal Gait,normal,front
clk7vstq3003v3n6lx16fsb87,nXuJIs25z1U,https://www.youtube.com/watch?v=nXuJIs25z1U,6396,6602,207,360,Normal Gait,normal,front
clk7vuicr00413n6l97p3b0gj,PAeh4qBwsUk,https://www.youtube.com/watch?v=PAeh4qBwsUk,97,207,111,480,Normal Gait,normal,front
clk7vv77k00453n6lht826fk9,PAeh4qBwsUk,https://www.youtube.com/watch?v=PAeh4qBwsUk,391,514,124,480,Normal Gait,normal,front
clk7vxpkh004b3n6lh19y5sxu,RMdC8Pa3VbU,https://www.youtube.com/watch?v=RMdC8Pa3VbU,1286,1414,129,480,Normal Gait,normal,right side
clk7vy9ja004f3n6lhju0ini5,RMdC8Pa3VbU,https://www.youtube.com/watch?v=RMdC8Pa3VbU,2531,2712,182,480,Normal Gait,normal,right side
clk7vzont004k3n6l8rzcrabu,sk0EU7MNt78,https://www.youtube.com/watch?v=sk0EU7MNt78,1,112,112,480,Normal Gait,normal,front
clk7w2a5o004r3n6l5ra8skem,ucZdenbi65k,https://www.youtube.com/watch?v=ucZdenbi65k,1128,1299,172,480,Normal Gait,normal,left side
clk7w3ipd004v3n6lvxg2f2do,ucZdenbi65k,https://www.youtube.com/watch?v=ucZdenbi65k,1865,2070,206,480,Normal Gait,normal,right side
clk7wcql7005g3n6lqmwzxquh,vawElqwgo_k,https://www.youtube.com/watch?v=vawElqwgo_k,2647,2815,169,480,Abnormal Gait,abnormal,back
clk7wdcvs005k3n6lh2dho0v6,vawElqwgo_k,https://www.youtube.com/watch?v=vawElqwgo_k,2856,3018,163,480,Abnormal Gait,abnormal,front
clk7wdvrc005o3n6lo9zqc9oz,vawElqwgo_k,https://www.youtube.com/watch?v=vawElqwgo_k,3325,3680,356,480,Abnormal Gait,abnormal,back
clk7wescc005s3n6lwpgkwfkk,vawElqwgo_k,https://www.youtube.com/watch?v=vawElqwgo_k,3772,4066,295,480,Abnormal Gait,abnormal,front
clk7wg3vw005x3n6lh068vbd3,vCn1WRR_U3E,https://www.youtube.com/watch?v=vCn1WRR_U3E,118,316,199,480,Abnormal Gait,abnormal,front
clk7wguxr00613n6lcojvp2w1,vCn1WRR_U3E,https://www.youtube.com/watch?v=vCn1WRR_U3E,521,590,70,480,Abnormal Gait,abnormal,front
clk7wi2pt00663n6lc98qnzvz,VDv7QEcoRGg,https://www.youtube.com/watch?v=VDv7QEcoRGg,412,591,180,480,Abnormal Gait,exercise,left side
clk7wilpu006a3n6lly2g44il,VDv7QEcoRGg,https://www.youtube.com/watch?v=VDv7QEcoRGg,722,882,161,480,Abnormal Gait,exercise,right side
clk7wj19b006e3n6lrt6z46hn,VDv7QEcoRGg,https://www.youtube.com/watch?v=VDv7QEcoRGg,974,1091,118,480,Abnormal Gait,exercise,left side
clk7wm113006m3n6lzk77zvoy,vfJBx50YcDw,https://www.youtube.com/watch?v=vfJBx50YcDw,30,330,301,720,Abnormal Gait,exercise,left side
clk7wnlq4006t3n6l6bimz9pn,VrgGp38yJhg,https://www.youtube.com/watch?v=VrgGp38yJhg,1,233,233,480,Abnormal Gait,exercise,left side
clk7wokfs006y3n6lwno96qbz,VrgGp38yJhg,https://www.youtube.com/watch?v=VrgGp38yJhg,334,541,208,480,Abnormal Gait,exercise,right side
clk7woxkm00723n6lstd64c9z,VrgGp38yJhg,https://www.youtube.com/watch?v=VrgGp38yJhg,647,903,257,480,Abnormal Gait,exercise,left side
clk7wpim200763n6ltlvyc7kv,VrgGp38yJhg,https://www.youtube.com/watch?v=VrgGp38yJhg,974,1187,214,480,Abnormal Gait,exercise,right side
clk7wq143007a3n6lbpbb74l7,VrgGp38yJhg,https://www.youtube.com/watch?v=VrgGp38yJhg,1327,1556,230,480,Abnormal Gait,exercise,left side
clk7wqkks007e3n6lnhit334h,VrgGp38yJhg,https://www.youtube.com/watch?v=VrgGp38yJhg,1634,1807,174,480,Abnormal Gait,exercise,right side
clk7wqyig007i3n6lkie1ez3m,VrgGp38yJhg,https://www.youtube.com/watch?v=VrgGp38yJhg,2027,2212,186,480,Abnormal Gait,exercise,left side
clk7wr95s007m3n6lclomc8ru,VrgGp38yJhg,https://www.youtube.com/watch?v=VrgGp38yJhg,2265,2431,167,480,Abnormal Gait,exercise,right side
cll167h5e001i3o6l5mpbhm7y,diCVwltkV5M,https://www.youtube.com/watch?v=diCVwltkV5M,726,783,58,240,Normal Gait,normal,back
cll168a55001o3o6lwsqxz5b4,diCVwltkV5M,https://www.youtube.com/watch?v=diCVwltkV5M,838,914,77,240,Normal Gait,normal,front
cll16hpim00363o6lw2vi7j2h,EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs,4067,4110,44,480,Normal Gait,normal,left side
cll16ij2s003e3o6lrapjbhw5,EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs,4154,4204,51,480,Normal Gait,normal,right side
cll16j9i2003m3o6l0q72twds,EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs,4262,4324,63,480,Normal Gait,normal,left side
cll16k7c9003u3o6l1z4qfzpf,EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs,4626,4757,132,480,Normal Gait,normal,right side
cll16lmkw00423o6lvpbnbl4n,EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs,5200,5420,221,480,Normal Gait,normal,right side
cll16mmxj004a3o6lims8zdjc,EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs,5528,5618,91,480,Normal Gait,normal,left side
cll16nhyo004i3o6lhic41bhi,EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs,5894,5994,101,480,Normal Gait,normal,front
cll1ste1x00063o6l3v8z8pxh,t1IkEAkBSz4,https://www.youtube.com/watch?v=t1IkEAkBSz4,2871,3103,233,480,Abnormal Gait,parkinsons,front
cll1stw3h000c3o6ls181yumr,t1IkEAkBSz4,https://www.youtube.com/watch?v=t1IkEAkBSz4,3480,3579,100,480,Abnormal Gait,parkinsons,back
cll1suku5000i3o6l0ztj3m3v,t1IkEAkBSz4,https://www.youtube.com/watch?v=t1IkEAkBSz4,3704,3858,155,480,Abnormal Gait,parkinsons,back
cll1sv6l6000o3o6lnedidemq,t1IkEAkBSz4,https://www.youtube.com/watch?v=t1IkEAkBSz4,3934,4014,81,480,Abnormal Gait,parkinsons,front
cll1svwwf000u3o6l1ek6dzq5,t1IkEAkBSz4,https://www.youtube.com/watch?v=t1IkEAkBSz4,4212,4290,79,480,Abnormal Gait,parkinsons,front
cll1sweuf00103o6lbl3xk82g,t1IkEAkBSz4,https://www.youtube.com/watch?v=t1IkEAkBSz4,4378,4472,95,480,Abnormal Gait,parkinsons,back
cll1swzih00163o6lxkyk0n6i,t1IkEAkBSz4,https://www.youtube.com/watch?v=t1IkEAkBSz4,4530,4599,70,480,Abnormal Gait,parkinsons,front
cll1sxtm2001c3o6ljrt1rg3u,t1IkEAkBSz4,https://www.youtube.com/watch?v=t1IkEAkBSz4,5453,5530,78,480,Abnormal Gait,parkinsons,front
cll1sz60600053o6lewgeftg3,T8NGOdOMtZ4,https://www.youtube.com/watch?v=T8NGOdOMtZ4,1,319,319,360,Abnormal Gait,abnormal,back
cll1t00hj000b3o6ltvcr8m0l,T8NGOdOMtZ4,https://www.youtube.com/watch?v=T8NGOdOMtZ4,369,676,308,360,Abnormal Gait,abnormal,front
cll1t0vvk000h3o6l7jnt7zo7,T8NGOdOMtZ4,https://www.youtube.com/watch?v=T8NGOdOMtZ4,687,1931,1245,360,Abnormal Gait,abnormal,back
cll1t1y56000n3o6l0erm0qfo,T8NGOdOMtZ4,https://www.youtube.com/watch?v=T8NGOdOMtZ4,2159,3373,1215,360,Abnormal Gait,abnormal,front
cll1t57ph000v3o6lwjhz9zz2,wKfAxIgnj50,https://www.youtube.com/watch?v=wKfAxIgnj50,153,666,514,480,Abnormal Gait,exercise,right side
cll1t63r300113o6lajubixny,wKfAxIgnj50,https://www.youtube.com/watch?v=wKfAxIgnj50,823,1065,243,480,Abnormal Gait,exercise,left side
cll1tbuth00053o6lx6ohlub5,b0KrA_96Ks0,https://www.youtube.com/watch?v=b0KrA_96Ks0,146,561,416,480,Abnormal Gait,parkinsons,left side
cll1tcctq00093o6l30ew8fz2,b0KrA_96Ks0,https://www.youtube.com/watch?v=b0KrA_96Ks0,647,983,337,480,Abnormal Gait,parkinsons,right side
cll1tfz0t000e3o6l6ypxvap2,FwJlEV6M1hk,https://www.youtube.com/watch?v=FwJlEV6M1hk,1,262,262,360,Abnormal Gait,abnormal,right side
cll1tggon000i3o6lpdnpztyg,FwJlEV6M1hk,https://www.youtube.com/watch?v=FwJlEV6M1hk,301,553,253,360,Abnormal Gait,abnormal,left side
cll1tgy4z000m3o6lon7dsr95,FwJlEV6M1hk,https://www.youtube.com/watch?v=FwJlEV6M1hk,582,1336,755,360,Abnormal Gait,abnormal,right side
cll1thi3n000q3o6lnr0j6u0f,FwJlEV6M1hk,https://www.youtube.com/watch?v=FwJlEV6M1hk,1506,2349,844,360,Abnormal Gait,abnormal,left side
cll1tjali000v3o6lz1q0sbhh,G5iGtnC06YU,https://www.youtube.com/watch?v=G5iGtnC06YU,337,435,99,320,Abnormal Gait,abnormal,right side
cll1tjqey000z3o6l9rxk74ly,G5iGtnC06YU,https://www.youtube.com/watch?v=G5iGtnC06YU,447,590,144,320,Abnormal Gait,abnormal,left side
cll1tkcu900133o6lebvnmt2x,G5iGtnC06YU,https://www.youtube.com/watch?v=G5iGtnC06YU,682,734,53,320,Abnormal Gait,abnormal,right side
cll1tl72s00183o6lidwjpm4l,G6QVztrW93k,https://www.youtube.com/watch?v=G6QVztrW93k,147,269,123,854,Abnormal Gait,exercise,left side
cll1tlpxj001c3o6lkqkvvqhq,G6QVztrW93k,https://www.youtube.com/watch?v=G6QVztrW93k,330,460,131,854,Abnormal Gait,exercise,right side
cll1tmroq001h3o6loxlzrj86,gBvMHns6N90,https://www.youtube.com/watch?v=gBvMHns6N90,1024,1211,188,854,Abnormal Gait,abnormal,front
cll1tnnrs001n3o6lkc9v4mgo,gEQ9je2hiGE,https://www.youtube.com/watch?v=gEQ9je2hiGE,1,182,182,854,Abnormal Gait,abnormal,back
cll1tpvdm001v3o6lpqzlnorv,GJCHyOxnPIU,https://www.youtube.com/watch?v=GJCHyOxnPIU,117,292,176,480,Abnormal Gait,abnormal,front
cll1tqcty001z3o6lieri2lsg,GJCHyOxnPIU,https://www.youtube.com/watch?v=GJCHyOxnPIU,522,815,294,480,Abnormal Gait,abnormal,front
cll1tqrrx00233o6lomml91s1,GJCHyOxnPIU,https://www.youtube.com/watch?v=GJCHyOxnPIU,923,1266,344,480,Abnormal Gait,abnormal,front
cll1tsq1n00293o6lu7c9kurh,gOMr8ezwiSU,https://www.youtube.com/watch?v=gOMr8ezwiSU,1013,1209,197,480,Abnormal Gait,exercise,left side
cll1tta09002d3o6l4kroorkw,gOMr8ezwiSU,https://www.youtube.com/watch?v=gOMr8ezwiSU,1573,1753,181,480,Abnormal Gait,exercise,left side
cll1tu9x4002j3o6linf569oq,gpNLTB58kK0,https://www.youtube.com/watch?v=gpNLTB58kK0,243,340,98,480,Abnormal Gait,abnormal,front
cll1tvded002o3o6lqnb31xmm,gRSNMxt9ZmM,https://www.youtube.com/watch?v=gRSNMxt9ZmM,672,1018,347,480,Abnormal Gait,abnormal,right side
cll445m9200063o6lo2sbn0n7,H7WThdv-fCQ,https://www.youtube.com/watch?v=H7WThdv-fCQ,55,222,168,720,Abnormal Gait,pregnant,back
cll446i2s000c3o6lffxji1s2,H7WThdv-fCQ,https://www.youtube.com/watch?v=H7WThdv-fCQ,271,449,179,720,Abnormal Gait,pregnant,front
cll44833z000j3o6lwxof7566,Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ,1,270,270,480,Abnormal Gait,myopathic,left side
cll4494ux000n3o6lyqr7dx4l,Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ,293,459,167,480,Abnormal Gait,myopathic,right side
cll449lal000t3o6lv4pja4l7,Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ,469,653,185,480,Abnormal Gait,myopathic,right side
cll44a69n000z3o6l8p6gooxx,Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ,665,939,275,480,Abnormal Gait,myopathic,front
cll44ar0q00153o6luv35dhl0,Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ,958,1109,152,480,Abnormal Gait,myopathic,left side
cll44balt00193o6lbzpyxlqq,Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ,1135,1495,361,480,Abnormal Gait,myopathic,right side
cll44bzhg001f3o6l7spc508t,Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ,1873,1995,123,480,Abnormal Gait,myopathic,right side
cll44cgt0001l3o6lsn9qb73s,Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ,2014,2142,129,480,Abnormal Gait,myopathic,left side
cll44cxvz001r3o6l42os54zz,Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ,2185,2397,213,480,Abnormal Gait,myopathic,right side
cll44dip4001x3o6l2pa7optw,Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ,2415,2541,127,480,Abnormal Gait,myopathic,left side
cll44e48l00233o6lu0msccp4,Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ,2614,2733,120,480,Abnormal Gait,myopathic,right side
cll44faz0002b3o6lkfu2oggx,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,73,161,89,480,Abnormal Gait,abnormal,left side
cll44hiwd002e3o6llv2e9o9t,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,163,252,90,480,Abnormal Gait,abnormal,left side
cll44hwjc002i3o6lqv6hv0ze,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,253,342,90,480,Abnormal Gait,abnormal,left side
cll44i8u8002l3o6l70vg7c0k,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,343,432,90,480,Abnormal Gait,abnormal,left side
cll44iuad002o3o6l836m07p6,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,433,522,90,480,Abnormal Gait,abnormal,left side
cll44jfs6002s3o6lx81eaw9d,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,523,612,90,480,Abnormal Gait,abnormal,left side
cll44jukm002v3o6lri55zuf7,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,613,702,90,480,Abnormal Gait,abnormal,left side
cll44k63a002y3o6l5mrc1stg,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,703,793,91,480,Abnormal Gait,abnormal,left side
cll44kk8300323o6l8rw8x8gy,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,794,882,89,480,Abnormal Gait,abnormal,left side
cll44l89z00353o6l1ve62vk7,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,883,972,90,480,Abnormal Gait,abnormal,left side
cll44m0to00393o6l0zg49ou0,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,973,1062,90,480,Abnormal Gait,abnormal,left side
cll44md5y003d3o6l2s8g314n,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,1063,1152,90,480,Abnormal Gait,abnormal,left side
cll44mu2g003h3o6lo05v7xlw,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,1153,1242,90,480,Abnormal Gait,abnormal,left side
cll44n86b003l3o6l2rl66u61,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,1243,1331,89,480,Abnormal Gait,abnormal,left side
cll44nq06003p3o6l7vf29lq8,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,1333,1422,90,480,Abnormal Gait,abnormal,left side
cll44orl7003t3o6lwcnhjt1q,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,1423,1512,90,480,Abnormal Gait,abnormal,left side
cll44p7pf003x3o6ll7fkmgvc,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,1513,1602,90,480,Abnormal Gait,abnormal,left side
cll44pl8l00413o6l376phbvv,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,1603,1692,90,480,Abnormal Gait,abnormal,left side
cll44q7mm00453o6lblioekqn,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,1693,1782,90,480,Abnormal Gait,abnormal,left side
cll44qpg400493o6lfcd9cdqa,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,1783,1871,89,480,Abnormal Gait,abnormal,left side
cll44r4mc004d3o6lf9qrgqcn,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,1873,1962,90,480,Abnormal Gait,abnormal,left side
cll44rghz004h3o6lrlt6ov6i,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,1963,2052,90,480,Abnormal Gait,abnormal,left side
cll44rrtg004l3o6lodazy5i6,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,2053,2142,90,480,Abnormal Gait,abnormal,left side
cll44s9xc004p3o6l0u5rf1xc,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,2143,2232,90,480,Abnormal Gait,abnormal,left side
cll44srul004t3o6lx6ivzcz3,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,2233,2322,90,480,Abnormal Gait,abnormal,left side
cll44t8c3004x3o6llo4b3z0m,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,2323,2412,90,480,Abnormal Gait,abnormal,left side
cll44tnb500513o6l5zdd2bsb,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,2413,2502,90,480,Abnormal Gait,abnormal,left side
cll44u10u00553o6lf2iilwrx,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,2503,2592,90,480,Abnormal Gait,abnormal,left side
cll44ukc800593o6lcuyd2sai,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,2593,2682,90,480,Abnormal Gait,abnormal,left side
cll44uuy8005d3o6lp580ed3c,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,2683,2772,90,480,Abnormal Gait,abnormal,left side
cll44vdaw005h3o6ldaam12sk,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,2773,2862,90,480,Abnormal Gait,abnormal,left side
cll44vscs005l3o6lizvxoeqj,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,2863,2952,90,480,Abnormal Gait,abnormal,left side
cll44wafv005p3o6lsd1boi3s,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,2953,3042,90,480,Abnormal Gait,abnormal,left side
cll44wqg1005t3o6lor9rzkdb,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,3043,3132,90,480,Abnormal Gait,abnormal,left side
cll44x594005x3o6l8ojujebf,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,3133,3222,90,480,Abnormal Gait,abnormal,left side
cll44xmlt00613o6luubjssx8,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,3223,3312,90,480,Abnormal Gait,abnormal,left side
cll44xxfd00653o6li0fk3odg,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,3313,3402,90,480,Abnormal Gait,abnormal,left side
cll44yle100693o6l4twv3pw7,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,3404,3492,89,480,Abnormal Gait,abnormal,left side
cll44yz75006d3o6l4a0v6ovq,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,3493,3582,90,480,Abnormal Gait,abnormal,left side
cll44zhfw006h3o6l8nn8i80l,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,3583,3672,90,480,Abnormal Gait,abnormal,left side
cll44ztbc006l3o6lwzcrjhsh,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,3673,3762,90,480,Abnormal Gait,abnormal,left side
cll450706006p3o6l2vc93wf0,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,3763,3852,90,480,Abnormal Gait,abnormal,left side
cll450m70006t3o6l88dmnp6h,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,3853,3942,90,480,Abnormal Gait,abnormal,left side
cll451060006x3o6lq5y3lw7f,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,3943,4032,90,480,Abnormal Gait,abnormal,left side
cll451mvy00713o6lvcdckobf,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,4033,4122,90,480,Abnormal Gait,abnormal,left side
cll45208v00753o6lzyi7ilgm,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,4123,4212,90,480,Abnormal Gait,abnormal,left side
cll452yrt00793o6lag8gn2kk,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,4213,4302,90,480,Abnormal Gait,abnormal,right side
cll453dco007d3o6lyqagucjd,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,4304,4392,89,480,Abnormal Gait,abnormal,left side
cll453wld007h3o6lgmtr9kg4,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,4393,4482,90,480,Abnormal Gait,abnormal,left side
cll454erx007l3o6lwt9kmva5,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,4483,4572,90,480,Abnormal Gait,abnormal,left side
cll458jkt007p3o6lzvdpvi7z,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,4573,4662,90,480,Abnormal Gait,abnormal,left side
cll4591gc007t3o6lgclxbwfm,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,4663,4752,90,480,Abnormal Gait,abnormal,left side
cll459c0b007w3o6lki1lqixo,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,4753,4842,90,480,Abnormal Gait,abnormal,front
cll459mu2007z3o6l93enseug,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,4843,4932,90,480,Abnormal Gait,abnormal,left side
cll45anxm00823o6la2q71owc,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,4933,5021,89,480,Abnormal Gait,abnormal,left side
cll45b4zs00883o6li71m93e8,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,5023,5111,89,480,Abnormal Gait,abnormal,left side
cll45bo9v008c3o6lli3qkb72,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,5113,5202,90,480,Abnormal Gait,abnormal,left side
cll45c3m7008f3o6lu5mtrg74,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,5203,5292,90,480,Abnormal Gait,abnormal,left side
cll45cd8v008j3o6lylxngkv3,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,5293,5382,90,480,Abnormal Gait,abnormal,left side
cll45ct6p008n3o6ltsoy1y7d,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,5383,5472,90,480,Abnormal Gait,abnormal,left side
cll45d7vn008q3o6l4sxv3e67,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,5473,5562,90,480,Abnormal Gait,abnormal,left side
cll45dokq008u3o6laphlyfqp,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,5563,5652,90,480,Abnormal Gait,abnormal,left side
cll45e1rg008x3o6lki1yqi2o,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,5653,5742,90,480,Abnormal Gait,abnormal,left side
cll45eqix00903o6lalmbmqlv,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,5833,5922,90,480,Abnormal Gait,abnormal,left side
cll45f2ga00943o6l35m5g4x0,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,5923,6011,89,480,Abnormal Gait,abnormal,left side
cll45fxj000983o6lr7ndc8m8,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,6013,6102,90,480,Abnormal Gait,abnormal,left side
cll45g99e009c3o6lf75cdfr4,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,6103,6192,90,480,Abnormal Gait,abnormal,left side
cll45gpat009g3o6lzcamhn5r,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,6193,6282,90,480,Abnormal Gait,abnormal,left side
cll45h3z5009k3o6lfvvbtj9i,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,6283,6372,90,480,Abnormal Gait,abnormal,left side
cll45hgo1009n3o6l3r35aw10,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,6373,6462,90,480,Abnormal Gait,abnormal,left side
cll45htx3009r3o6laazc10p1,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,6463,6552,90,480,Abnormal Gait,abnormal,left side
cll45i8bj009v3o6l81ux4gw6,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,6553,6642,90,480,Abnormal Gait,abnormal,left side
cll45im97009y3o6lyqr7w588,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,6643,6732,90,480,Abnormal Gait,abnormal,left side
cll45j2b700a23o6lz86a8zm7,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,6733,6822,90,480,Abnormal Gait,abnormal,left side
cll45jh7d00a63o6lbqz4ayaj,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,6823,6912,90,480,Abnormal Gait,abnormal,left side
cll45jwip00a93o6l9kjkmwjf,HEoUhlesN9E,https://www.youtube.com/watch?v=HEoUhlesN9E,6913,7092,180,480,Abnormal Gait,abnormal,left side
